artifact	audience	doc_type	risk	status	notes
batchalign3/book/src/SUMMARY.md	developer	reference	medium	unreviewed	
batchalign3/book/src/architecture/caching.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/chat-ownership-boundary.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/chat-parsing.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/command-contracts.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/dispatch-system.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/engine-interface.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/error-handling.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/extension-layers.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/fleet-evolution.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/hk-cantonese-engines.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/overview.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/pipeline-system.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/python-rust-interface.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/rust-server-migration.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/server-architecture.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/server-known-issues.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/server-model-loading.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/type-driven-design.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/architecture/validation.md	developer	architecture	medium	unreviewed	
batchalign3/book/src/decisions/cache-rust-migration.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/downstream-integration.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/lenient-parsing.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/long-term-architecture-charter.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/models-training-runtime-adr.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/plugin-migration-compatibility-adr.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/rust-morphosyntax-case.md	developer	reference	medium	unreviewed	
batchalign3/book/src/decisions/tauri-react-dashboard-adoption.md	developer	reference	medium	unreviewed	
batchalign3/book/src/developer/adding-engines.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/api-stability.md	developer	developer	high	unreviewed	
batchalign3/book/src/developer/arena-allocators.md	developer	developer	high	unreviewed	
